,cluster_lat,cluster_lon,plot_slope,plot_elevation,year,NFI_period,age,age_class,dbh,dbh_class,ba,height,h/d,life_precip_spring,life_precip_summer,life_precip_winter,life_tmax_spring,life_tmax_summer,life_tmean_spring,life_tmean_summer,life_tmin_spring,life_tmin_summer,past_30_precip_spring,past_30_precip_summer,past_30_precip_winter,past_30_tmax_spring,past_30_tmax_summer,past_30_tmean_spring,past_30_tmean_summer,past_30_tmin_spring,past_30_tmin_summer,past_5_precip_spring,past_5_precip_summer,past_5_precip_winter,past_5_tmax_spring,past_5_tmax_summer,past_5_tmean_spring,past_5_tmean_summer,past_5_tmin_spring,past_5_tmin_summer,previous_year,time_interval,dbh_incr_y,%dbh_incr_y,ba_incr_y,%ba_incr_y,height_incr,%height_incr_y,%age_incr,%vol_incr_y,plot_n_ha,plot_spec_count,plot_ba_prop,x_utm,y_utm
cluster_lat,1.0,0.3805703521149138,-0.41408759596298433,-0.7300031051192649,0.19596434029145815,0.1980563933178244,-0.20483713780302934,-0.18336957641816223,-0.12366963506054425,-0.14233168510824348,-0.09727469055811488,-0.24476530352616144,-0.028689131966235574,-0.688739943436796,-0.595736720021578,-0.5111690138290431,0.2859313336124213,0.2646467520961267,0.24610409910808315,0.28150297021148263,0.20506551975202109,0.2951107339068644,-0.7265765009221444,-0.5799890763438156,-0.5104262076115869,0.27698855694023145,0.22846480840837713,0.248790351413536,0.2356968819355844,0.21832189503982477,0.24233819114102575,-0.6360271545672672,-0.5381593421803763,-0.45071258844091444,0.23729767052187611,0.2611969959026096,0.23153314986483176,0.24502091952513272,0.20871211161372982,0.18215419247010803,-0.2581189412763223,0.2481138974120989,0.3098905652794463,0.34919179507196474,0.19455126338960832,0.35633738471525084,0.03121093439180891,0.09085902363554654,0.2016010167295832,0.211296904662674,0.14826896918187057,-0.4729311867403467,0.03735580072315623,0.3614576457470249,0.9998732953406586
cluster_lon,0.3805703521149138,1.0,-0.27452908863122416,-0.19750887875943,0.1810834464944155,0.1934897393343328,0.04983716330005831,0.04587117312191692,0.019365455565864928,0.020641975781856916,0.06748160998878228,-0.06844351110699136,0.011527740255540642,-0.236103765340706,-0.051199862758413234,-0.3732505501349312,0.12716399598327885,0.13018261744232504,0.050547259311942115,0.13881910587325064,-0.024099834801925835,0.1483980842931546,-0.272953915743642,-0.02906022507100019,-0.36319736894789345,0.14927342546391484,0.12064267310804036,0.0780265998883281,0.11911912817140717,0.0074856116472526825,0.12255852977847477,-0.23706255418278535,-0.003530920871399511,-0.27031220001741835,0.12502985556270554,0.1379850794936555,0.10833648668462996,0.1660761026122352,0.08528083790216592,0.1608459733232579,-0.09440507947187951,0.12805986105430942,0.13241526917271132,0.11209162963479014,0.18154526749467711,0.11649015524027655,0.14983598752526722,0.14812948133544962,-0.09288157963756741,0.043444457599556695,0.04802221206002439,-0.2593182523979664,-0.011969330832851652,0.999245598060471,0.39201204113791355
plot_slope,-0.41408759596298433,-0.27452908863122416,1.0,0.43312368970342124,-0.21277023454558266,-0.21179007733599353,0.23935449606158868,0.22712893353631078,-0.024141172791065677,-0.02828031270485838,-0.027713314063887762,0.002513932004763159,-0.01912695344491938,0.4739879047100711,0.4440756990650213,0.43082133323962785,-0.3063540300783662,-0.31350188922512323,-0.28706280404420864,-0.31789155026130683,-0.2659103563453576,-0.320923176295114,0.487766735707656,0.43188100632324194,0.4435456483339086,-0.3192251696154011,-0.3054006698283068,-0.3029408056300795,-0.3058641903550772,-0.2835611950204419,-0.30501918024568325,0.4842412090406346,0.3972266349954223,0.3999613736526817,-0.31344627714494677,-0.29809627798253846,-0.30686382380440047,-0.30168989828898535,-0.2775531064185506,-0.28140596515708627,0.028208139075236623,-0.04292130061797018,-0.30109625239588195,-0.20756168545246625,-0.2613419795841396,-0.1955264963996618,0.23594689561878465,0.17041081301341357,-0.0062890778172430455,-0.03916776208523146,-0.05320430123306453,0.17543401688231208,-0.06173008950216192,-0.26840625918187144,-0.41550033224969746
plot_elevation,-0.7300031051192649,-0.19750887875943,0.43312368970342124,1.0,-0.26330227784334115,-0.25914385865450895,0.21713029633578487,0.19824718194983013,0.13826116756202658,0.14899816640888144,0.10154186136618767,0.11170124963445992,-0.1695383995992212,0.826005435603756,0.7772133273495783,0.7323614313369029,-0.8173012186304602,-0.802155322378069,-0.8027757455570723,-0.8163433587197602,-0.7814864381294152,-0.8260656112712267,0.814274334135161,0.7693525151195382,0.7248312885658681,-0.7958486948323458,-0.7708158377756538,-0.7876009953618952,-0.7834420308267818,-0.7709010095223903,-0.7939069887364723,0.7127858626497283,0.7123620243096523,0.6598406396329879,-0.6946902777483612,-0.7781758842805194,-0.7228492763942264,-0.7767844346316747,-0.6924197821671498,-0.7247303785785472,0.006312700441187762,0.005382790710874015,-0.028985940016636208,-0.1743023352958234,0.0606448371109607,-0.18516591172950758,0.07649652378589007,0.011942799366330237,-0.23938613474033776,-0.1490509521783361,-0.19426957052659222,0.22758740568716856,0.04523371975764874,-0.18010324386079563,-0.7295594534421553
year,0.19596434029145815,0.1810834464944155,-0.21277023454558266,-0.26330227784334115,1.0,0.996253692382608,0.09675872014034498,0.1000046544887902,0.10191730637649311,0.08243751574384885,0.12203716893298101,0.0905754685883502,0.050168988547214445,-0.29012829525180656,-0.21077851852001336,-0.24883450859205422,0.3468377818402025,0.3386662217719463,0.33597382096720835,0.3249891832664284,0.32193015966186583,0.30800769758521707,-0.33558826026609945,-0.2292517806898778,-0.24568099258265944,0.4809457849472571,0.4702993653182756,0.4634112259072517,0.43084825555986545,0.4415610380384332,0.37578250218516535,-0.5731330506143925,-0.08070823188223039,-0.4860201698911453,0.5004330047238937,0.40808349213924827,0.602702653413149,0.4230581424599728,0.647009923335664,0.49517095841315384,0.991452518736826,-0.8972101117904108,-0.10087302998572686,-0.13359048388818714,-0.095393058597792,-0.1466960569593304,-0.08682169831535826,-0.1709073622666638,-0.3212028399302286,-0.2522902742189122,0.020443029609963994,-0.026031841374519256,0.03489847803646243,0.17886249297582058,0.19832019611668442
NFI_period,0.1980563933178244,0.1934897393343328,-0.21179007733599353,-0.25914385865450895,0.996253692382608,1.0,0.09484663877325235,0.09684502883779365,0.0959697542740202,0.07868031826159186,0.11981872080942345,0.07754998468794662,0.04905541177230454,-0.28581029030703986,-0.20679129501405158,-0.24818846776415152,0.34054270196365244,0.3317937161377844,0.3273165027395191,0.31794662392688405,0.3110724277283486,0.30014549283888364,-0.33322833983402367,-0.22700630136314007,-0.2471057850632201,0.47494900423282294,0.4641687058871058,0.4531339742987761,0.4247202722939225,0.42725074487364095,0.3682215601876575,-0.5722769010023341,-0.07760791249587706,-0.48419591738766943,0.5152562186703653,0.40673656364000604,0.6076423903950711,0.42269793533476957,0.6428310660279639,0.4958470893166671,0.9968327192452864,-0.9286368144858093,-0.10244351565235878,-0.13784857386142108,-0.09137878599014036,-0.15216718937808457,-0.05614395282286355,-0.1465232873813743,-0.3308705962374775,-0.25291246932820943,0.027599681666578706,-0.033626062564653406,0.05070044247586266,0.19131137653906355,0.20050592499302097
age,-0.20483713780302934,0.04983716330005831,0.23935449606158868,0.21713029633578487,0.09675872014034498,0.09484663877325235,1.0,0.9884594360750469,0.6962768293066768,0.7025899216395254,0.6428146331875925,0.5977403566423489,-0.37669666712919436,0.2556113972901971,0.3699263848196607,0.15176524691020218,-0.16379797362459728,-0.23250331169731608,-0.1686494471974344,-0.21824906890563542,-0.17169776813653534,-0.2052272471687591,0.25126868536153335,0.35407776054701007,0.21854932370144245,-0.11526585393822497,-0.14171302940321143,-0.1241312951520671,-0.14469335034152941,-0.13108557691023962,-0.14520207278720296,0.1282727341139085,0.3927202936654376,0.14808302653418112,-0.07752062457929274,-0.19440669332721827,-0.07359259613034007,-0.16121776865858076,-0.06448554241923589,-0.10588412314129488,-0.09270098685474121,0.0437906281723141,-0.07429685469497914,-0.4661692521978811,0.188288494243704,-0.4624335221629127,-0.11023258548331508,-0.45058712836663395,-0.7344940154922386,-0.49579760288168784,-0.5035158113341343,0.22606969194142162,-0.051489760439228115,0.06316758135200816,-0.20396134228139318
age_class,-0.18336957641816223,0.04587117312191692,0.22712893353631078,0.19824718194983013,0.1000046544887902,0.09684502883779365,0.9884594360750469,1.0,0.6719336305230417,0.6773631170266207,0.6152008958772691,0.5868875319370236,-0.3749800516828062,0.24980513119127679,0.36907632796936096,0.14709583833836623,-0.1479277307727518,-0.2176779559928238,-0.15340495256514444,-0.20282462882845795,-0.15728227971492337,-0.19015597084322147,0.24493268089265935,0.35517096421422745,0.21367310897400882,-0.10299946943973168,-0.131383804056348,-0.11270111110582128,-0.13331366549956214,-0.12063869117564077,-0.13416585603144007,0.11804005023871852,0.39664867793922537,0.14000670543194152,-0.06385213889929821,-0.18229082121112844,-0.06618930207999314,-0.1515711315319242,-0.06318958292205276,-0.10009897228133167,-0.11063098302229295,0.058689430036181885,-0.07519183422499949,-0.45183415716795944,0.17024159602872949,-0.4487063897813021,-0.12992948369196008,-0.47302651553264924,-0.7191671396728601,-0.4895449742116339,-0.5020614425621809,0.21407049436420364,-0.028108832385568352,0.05905645499152962,-0.1828355916619711
dbh,-0.12366963506054425,0.019365455565864928,-0.024141172791065677,0.13826116756202658,0.10191730637649311,0.0959697542740202,0.6962768293066768,0.6719336305230417,1.0,0.9938139177816047,0.9649155339232404,0.7669372615313289,-0.6159136338996207,0.1611651042125411,0.18833963769712647,0.14062850774325542,-0.11876605655609655,-0.1718062842785106,-0.1176780985096465,-0.1597512643592718,-0.11500011588299655,-0.14997457476399823,0.15977179501406447,0.16500779633204898,0.18755834484792708,-0.06837988262166515,-0.0910817533433847,-0.06959783273986843,-0.09660963366323787,-0.06952200276216466,-0.09938553394355258,0.07872951968117804,0.19129835263118808,0.13319841456604414,-0.06389423327255411,-0.12703589182576988,-0.04878781035574718,-0.11204256721306248,-0.031693854178828695,-0.08102884692504246,-0.04518639598531445,-0.0179542672338525,0.482328561481097,-0.13415844597309626,0.7749636781520639,-0.13778823619037336,0.19380720558651038,-0.22858597291457677,-0.5155212467797358,-0.18977759570766095,-0.7237381246372366,0.1697485679476359,-0.013485864291299363,0.02810805755632856,-0.12250591580102738
dbh_class,-0.14233168510824348,0.020641975781856916,-0.02828031270485838,0.14899816640888144,0.08243751574384885,0.07868031826159186,0.7025899216395254,0.6773631170266207,0.9938139177816047,1.0,0.9561734160664085,0.7716226623667757,-0.6077726376869117,0.16411556130578064,0.19143740008882504,0.13810521064530565,-0.11786385017303383,-0.1717959491568922,-0.11747806204683253,-0.15979944005199653,-0.11556953899980515,-0.1500230015353553,0.16501773629298677,0.16947346421272755,0.18530592980972635,-0.07204183741037974,-0.09494999958883453,-0.07383733056989777,-0.09960559286892959,-0.07428750565542681,-0.10120050247141626,0.08353093453556762,0.19243516553966217,0.1389840319346544,-0.0635090809976013,-0.134590798463087,-0.052011642129508505,-0.1176266002955193,-0.03786252331371526,-0.08659769419349177,-0.04096329564568985,-0.03404161169854376,0.4792172181525172,-0.12128986575931382,0.7681302180551438,-0.12484694957275644,0.22376811632999366,-0.20067241530576055,-0.523825162312458,-0.17162390061698246,-0.7284666535061856,0.17411504164079236,-0.01210088526648898,0.030097734143769813,-0.14124466153725787
